Model,Variant,RMSE,MAPE,Time (s),Improvement %
SARIMA,Baseline,0.007040443366410586,0.0010621477510481645,0.1286327838897705,
SARIMA,Optimized,0.004722272076458712,0.0006511846785719362,783.2217950820923,38.69170480949336
PROPHET,Baseline,0.012948544626301614,0.0017956069614287072,1.0771172046661377,
PROPHET,Optimized,0.01414421448921694,0.002028356538082202,287.6098265647888,-12.96216720324493
XGBOOST,Baseline,0.00531456052527537,0.0007466405886172978,0.10158658027648926,
XGBOOST,Optimized,0.006059720687482851,0.0007076741524701151,10.086063146591187,5.218901401991091
